"cbo_2002","grupo_cargo","n","TITULO"
10105,"Outros",11,"Oficial general da aeronáutica"
111220,"Strategic",7,"Secretário - executivo"
111405,"Strategic",33,"Dirigente do serviço público federal"
111510,"Operational",26,"Analista de planejamento e orçamento - apo"
114205,"Strategic",10,"Dirigente de entidade de trabalhadores"
114405,"Strategic",175,"Dirigente e administrador de organização da sociedade civil sem fins lucrativos"
121005,"Strategic",28,"Diretor de planejamento estratégico"
121010,"Strategic",4064,"Diretor geral de empresa e organizações (exceto de interesse público)"
122405,"Outros",4,"Diretor de operações comerciais (comércio atacadista e varejista)"
122615,"Outros",4,"Diretor de operações de serviços de telecomunicações"
122705,"Strategic",391,"Diretor comercial em operações de intermediação financeira"
122710,"Strategic",313,"Diretor de produtos bancários"
122715,"Outros",1,"Diretor de crédito rural"
122725,"Strategic",217,"Diretor de compliance"
122730,"Strategic",53,"Diretor de crédito (exceto crédito imobiliário)"
122750,"Strategic",10,"Diretor de recuperação de créditos em operações de intermediação financeira"
122755,"Strategic",254,"Diretor de riscos de mercado"
123105,"Strategic",3616,"Diretor administrativo"
123110,"Strategic",2292,"Diretor administrativo e financeiro"
123115,"Strategic",742,"Diretor financeiro"
123205,"Outros",6,"Diretor de recursos humanos"
123210,"Outros",1,"Diretor de relações de trabalho"
123305,"Strategic",421,"Diretor comercial"
123310,"Strategic",6,"Diretor de marketing"
123405,"Outros",4,"Diretor de suprimentos"
123605,"Strategic",196,"Diretor de tecnologia da informação"
123705,"Strategic",21,"Diretor de pesquisa e desenvolvimento (p&d)"
131105,"Outros",4,"Diretor de serviços culturais"
131115,"Strategic",51,"Gerente de serviços culturais"
131120,"Strategic",72,"Gerente de serviços sociais"
141115,"Outros",2,"Gerente de produção e operações agropecuárias"
141205,"Strategic",419,"Gerente de produção e operações"
141305,"Strategic",6,"Gerente de produção e operações da construção civil e obras públicas"
141410,"Outros",9,"Comerciante varejista"
141415,"Strategic",54,"Gerente de loja e supermercado"
141420,"Strategic",14,"Gerente de operações de serviços de assistência técnica"
141505,"Outros",1,"Gerente de hotel"
