cnpj_basico,identificador_matriz_filial,situacao_cadastral,data_situacao_cadastral,data_inicio_atividade,cnae_fiscal_principal,ativa_em_2010,ativa_em_2011,ativa_em_2012,ativa_em_2013,ativa_em_2014,ativa_em_2015,ativa_em_2016,ativa_em_2017,ativa_em_2018,ativa_em_2019,ativa_em_2020,ativa_em_2021,ativa_em_2022
41697103,2,2,2021-09-14,2021-09-14,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
41931221,2,2,2021-12-02,2021-12-02,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
44469161,2,2,2021-12-03,2021-12-03,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
83315408,2,2,2020-02-13,2020-02-13,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
49389307,2,2,2021-10-06,2021-10-06,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
54037916,2,2,2021-08-02,2021-08-02,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
54037916,2,2,2021-08-02,2021-08-02,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
54037916,2,2,2021-08-04,2021-08-04,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
54037916,2,2,2021-08-17,2021-08-17,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
54037916,2,2,2021-08-18,2021-08-18,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
54037916,2,2,2021-10-14,2021-10-14,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
59869560,2,2,2021-09-10,2021-09-10,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
65229254,2,2,2019-11-13,2019-11-13,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
65229254,2,2,2019-11-13,2019-11-13,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
65239402,2,2,2020-02-13,2020-02-13,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
66402207,2,2,2019-11-29,2019-11-29,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
